Metodo_Agregacao;Data;Versao_Dataset;Nome_Aeroporto;Proporção_Viagem;Cidade;Estado;Pais
Daily;2020-04-03;10;Santiago International Airport;31;Santiago;Santiago Province;Chile
Daily;2020-08-04;10;Santiago International Airport;33;Santiago;Santiago Province;Chile
Daily;2020-10-18;10;Santiago International Airport;28;Santiago;Santiago Province;Chile
Daily;2020-05-11;10;Santiago International Airport;28;Santiago;Santiago Province;Chile
Daily;2020-08-05;10;Santiago International Airport;25;Santiago;Santiago Province;Chile
Daily;2020-09-25;10;Santiago International Airport;42;Santiago;Santiago Province;Chile
Daily;2020-10-01;10;Santiago International Airport;39;Santiago;Santiago Province;Chile
Daily;2020-11-26;10;Santiago International Airport;50;Santiago;Santiago Province;Chile
Daily;2020-04-06;10;Santiago International Airport;27;Santiago;Santiago Province;Chile
Daily;2020-04-08;10;Santiago International Airport;21;Santiago;Santiago Province;Chile
Daily;2020-07-07;10;Santiago International Airport;30;Santiago;Santiago Province;Chile
Daily;2020-08-22;10;Santiago International Airport;33;Santiago;Santiago Province;Chile
Daily;2020-08-26;10;Santiago International Airport;36;Santiago;Santiago Province;Chile
Daily;2020-10-09;10;Santiago International Airport;56;Santiago;Santiago Province;Chile
Daily;2020-10-28;10;Santiago International Airport;70;Santiago;Santiago Province;Chile
Daily;2020-06-19;10;Santiago International Airport;28;Santiago;Santiago Province;Chile
Daily;2020-11-18;10;Santiago International Airport;62;Santiago;Santiago Province;Chile
Daily;2020-11-30;10;Santiago International Airport;65;Santiago;Santiago Province;Chile
Daily;2020-12-02;10;Santiago International Airport;48;Santiago;Santiago Province;Chile
Daily;2020-03-23;10;Santiago International Airport;32;Santiago;Santiago Province;Chile
Daily;2020-07-10;10;Santiago International Airport;37;Santiago;Santiago Province;Chile
Daily;2020-07-19;10;Santiago International Airport;16;Santiago;Santiago Province;Chile
Daily;2020-09-06;10;Santiago International Airport;20;Santiago;Santiago Province;Chile
Daily;2020-11-23;10;Santiago International Airport;58;Santiago;Santiago Province;Chile
Daily;2020-05-27;10;Santiago International Airport;19;Santiago;Santiago Province;Chile
Daily;2020-08-10;10;Santiago International Airport;42;Santiago;Santiago Province;Chile
Daily;2020-08-24;10;Santiago International Airport;46;Santiago;Santiago Province;Chile
Daily;2020-09-24;10;Santiago International Airport;36;Santiago;Santiago Province;Chile
Daily;2020-10-10;10;Santiago International Airport;34;Santiago;Santiago Province;Chile
Daily;2020-10-12;10;Santiago International Airport;38;Santiago;Santiago Province;Chile
Daily;2020-11-03;10;Santiago International Airport;63;Santiago;Santiago Province;Chile
Daily;2020-11-06;10;Santiago International Airport;57;Santiago;Santiago Province;Chile
